City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coolum Beach,-26.5333,153.1,28.33,64,1,1.34,AU,1610593541
Camalú,30.85,-116.0667,15.31,41,0,1.27,MX,1610593542
Sahuaripa,29.05,-109.2333,11.25,40,0,1.72,MX,1610593543
Arua,3.0201,30.9111,21.49,31,93,1.72,UG,1610593543
Robertsport,6.7533,-11.3686,26.35,81,42,2.08,LR,1610593544
Susanville,40.4163,-120.653,7.0,76,40,2.57,US,1610593545
Ouégoa,-20.35,164.4333,27.72,81,99,4.84,NC,1610593546
Znamenskoye,57.1281,73.8282,-29.0,87,24,2.69,RU,1610593548
Nhulunbuy,-12.2333,136.7667,30.0,79,40,4.12,AU,1610593550
Manuk Mangkaw,4.8,119.85,28.44,72,96,1.16,PH,1610593551
Coxim,-18.5067,-54.76,24.51,89,100,1.73,BR,1610593552
Vyartsilya,62.1764,30.693,-20.94,89,88,3.07,RU,1610593552
Moroto,2.5345,34.6666,19.92,45,10,3.17,UG,1610593553
Eureka,40.8021,-124.1637,12.78,93,60,1.17,US,1610593554
Tubualá,9.5167,-79.0333,24.44,94,0,5.24,PA,1610593554
Bom Jesus,-9.0744,-44.3586,23.8,84,91,0.86,BR,1610593555
Hofn,64.2539,-15.2082,5.09,92,100,8.75,IS,1610593556
Menongue,-14.6585,17.691,17.66,94,100,0.28,AO,1610593557
Paita,-5.0892,-81.1144,22.16,82,85,6.1,PE,1610593275
Palmer,42.1584,-72.3287,1.67,64,90,2.06,US,1610593558
Sitka,57.0531,-135.33,3.0,87,90,4.63,US,1610593559
Orange,33.7,-117.7675,17.0,45,75,0.96,US,1610593560
Roald,62.5833,6.1333,-4.44,86,0,3.6,NO,1610593560
Muyezerskiy,63.9333,31.65,-27.13,88,32,1.85,RU,1610593561
Kloulklubed,7.0419,134.2556,29.0,79,90,3.09,PW,1610593464
Llaillay,-32.85,-70.9667,19.0,22,20,4.63,CL,1610593563
Xining,36.6167,101.7667,-4.47,52,0,0.71,CN,1610593307
Lobito,-12.3481,13.5456,23.14,74,100,1.8,AO,1610593565
Tamiahua,21.2667,-97.45,14.38,69,58,1.19,MX,1610593566
Laibin,23.7,109.2667,16.1,27,100,0.65,CN,1610593567
Artena,41.7405,12.9137,6.67,98,0,1.85,IT,1610593568
Katiola,8.1333,-5.1,24.0,94,0,4.12,CI,1610593569
Sabha,27.0377,14.4283,7.34,55,95,3.07,LY,1610593570
Lebedinyy,58.5167,125.5167,-30.3,78,23,1.13,RU,1610593571
Bogorodsk,56.1033,43.5158,-17.78,84,90,4.0,RU,1610593572
Laguna,38.421,-121.4238,14.0,82,1,5.14,US,1610593573
Port Hawkesbury,45.6169,-61.3485,-5.0,93,1,1.03,CA,1610593574
Seydi,39.4816,62.9137,2.75,71,0,4.71,TM,1610593575
Goderich,43.7501,-81.7165,2.0,87,100,1.03,CA,1610593575
Disna,55.568,28.1971,-7.45,97,100,4.59,BY,1610593576
Voh,-20.9667,164.7,27.41,83,100,2.14,NC,1610593576
Chimbote,-9.0853,-78.5783,21.42,83,100,2.8,PE,1610593577
Bābai,22.7,77.9333,12.34,39,0,2.75,IN,1610593577
Pilar,-9.5972,-35.9567,23.0,94,0,1.54,BR,1610593347
Departamento de Maldonado,-34.6667,-54.9167,17.0,82,0,3.09,UY,1610593579
Tucuruí,-3.7661,-49.6725,23.43,94,100,1.79,BR,1610593390
Itarema,-2.9248,-39.9167,25.84,79,100,5.38,BR,1610593430
Vitim,59.4511,112.5578,-22.54,87,100,6.51,RU,1610593582
Sirte,31.2089,16.5887,13.76,71,42,9.96,LY,1610593582
Rey Bouba,8.6724,14.1786,18.99,25,0,0.38,CM,1610593583
Salisbury,51.0693,-1.7957,10.56,93,90,5.7,GB,1610593584
Jieshi,22.8134,115.8257,12.78,55,0,4.34,CN,1610593498
Mago,53.2514,140.1822,-21.44,87,100,1.93,RU,1610593585
Faya,18.3851,42.4509,8.0,81,0,1.29,SA,1610593586
Nuquí,5.7125,-77.2708,25.25,87,98,1.91,CO,1610593587
Kichera,55.9375,110.0997,-23.9,80,97,0.55,RU,1610593589
Peniche,39.3558,-9.3811,8.89,72,6,6.71,PT,1610593591
Ambilobe,-13.2,49.05,24.29,93,55,0.33,MG,1610593500
Liaocheng,36.4439,115.9647,6.89,59,0,4.51,CN,1610593393
Mana,5.6592,-53.7767,24.98,86,100,5.41,GF,1610593303
Prince Rupert,54.3161,-130.3201,6.0,81,40,3.6,CA,1610593579
Alofi,-19.0595,-169.9187,29.0,74,40,5.14,NU,1610593594
Leh,34.1667,77.5833,-14.16,29,0,0.78,IN,1610593428
Soyo,-6.1349,12.3689,25.3,80,30,3.28,AO,1610593595
Adrar,20.5022,-10.0711,14.88,29,0,6.33,MR,1610593598
Turukhansk,65.8167,87.9833,-32.13,85,94,3.43,RU,1610593599
Henties Bay,-22.116,14.2845,20.56,86,100,2.14,NA,1610593600
Palmares do Sul,-30.2578,-50.5097,20.27,74,2,5.23,BR,1610593601
Svetlaya,46.5389,138.3297,-7.86,78,99,7.21,RU,1610593601
Beira,-19.8436,34.8389,25.0,100,90,5.14,MZ,1610593602
Paamiut,61.994,-49.6678,-5.34,94,100,2.74,GL,1610593510
Tianmen,30.6516,113.1603,12.83,42,18,4.34,CN,1610593603
Qaqortoq,60.7167,-46.0333,-2.0,86,90,1.58,GL,1610593604
Port Blair,11.6667,92.75,27.14,66,0,5.1,IN,1610593605
Muisne,0.6,-80.0333,25.28,84,99,4.21,EC,1610593606
Bubaque,11.2833,-15.8333,25.31,69,0,3.47,GW,1610593606
Berdigestyakh,62.0989,126.6992,-39.69,80,80,1.58,RU,1610593607
Nara,34.6851,135.8049,13.89,58,20,1.54,JP,1610593349
Teacapan,22.55,-105.75,18.74,57,100,3.42,MX,1610593608
Wundanyi,-3.4019,38.364,14.32,100,15,0.91,KE,1610593610
Hokitika,-42.7167,170.9667,19.58,75,13,5.18,NZ,1610593610
Grong,64.4654,12.3149,-13.98,87,0,1.58,NO,1610593611
Malartic,48.1335,-78.1328,-1.0,93,90,2.06,CA,1610593612
Byron Bay,-28.65,153.6167,28.89,50,0,4.63,AU,1610593613
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-13.0,47,0,3.0,RU,1610593614
Çay,38.5917,31.0286,0.68,91,77,0.55,TR,1610593615
Mahibadhoo,3.7833,72.9667,27.32,81,80,5.78,MV,1610593321
Iranshahr,27.2025,60.6848,5.0,11,0,3.09,IR,1610593617
Minzhu,43.7286,127.3447,-15.24,84,0,1.37,CN,1610593618
Bonthe,7.5264,-12.505,25.45,87,0,1.96,SL,1610593618
Pag,44.445,15.0575,-1.0,64,0,2.57,HR,1610593620
Preobrazheniye,42.9019,133.9064,-8.02,77,1,6.08,RU,1610593620
Acapulco de Juárez,16.8634,-99.8901,27.0,78,20,5.14,MX,1610593582
Atambua,-9.1061,124.8925,30.1,65,100,0.62,ID,1610593622
Chumikan,54.7183,135.315,-23.65,84,97,6.08,RU,1610593623
Aban,56.67,96.06,-22.07,90,100,5.42,RU,1610593624
Kyrksæterøra,63.2906,9.0891,-5.0,79,20,6.69,NO,1610593624
São Geraldo do Araguaia,-6.4006,-48.555,22.98,93,48,0.83,BR,1610593625
Nizhniy Kuranakh,58.8353,125.4869,-33.06,81,19,0.17,RU,1610593625
Cabedelo,-6.9811,-34.8339,25.0,88,20,1.54,BR,1610593358
Nantucket,41.2835,-70.0995,4.0,70,90,3.09,US,1610593627
Narsaq,60.9167,-46.05,-2.0,86,90,0.99,GL,1610593629
Jalu,29.0331,21.5482,12.83,59,63,8.48,LY,1610593347
Ixtapa,20.7,-105.2,19.0,88,90,1.03,MX,1610593572
Flin Flon,54.7682,-101.865,-3.65,98,100,3.75,CA,1610593631
Longhua,23.6137,114.1919,21.03,21,0,0.5,CN,1610593631
Asău,46.4333,26.4,-5.0,100,0,2.06,RO,1610593632
Bud,39.447,-86.1758,4.44,71,100,4.11,US,1610593632
Arawa,-6.2132,155.5367,31.15,53,99,2.46,PG,1610593633
Muros,42.7762,-9.0603,7.22,88,46,0.89,ES,1610593633
Port Augusta,-32.5,137.7667,27.22,56,0,7.2,AU,1610593634
Gavrilovka Vtoraya,52.877,42.7663,-5.22,97,100,9.69,RU,1610593634
Porto-Vecchio,41.591,9.2795,12.0,76,90,7.72,FR,1610593635
Omsukchan,62.5333,155.8,-37.15,78,78,1.64,RU,1610593636
Oussouye,12.485,-16.5469,20.0,88,0,1.03,SN,1610593636
Vestmannaeyjar,63.4427,-20.2734,6.74,76,90,6.42,IS,1610593637
Pangnirtung,66.1451,-65.7125,-21.13,74,91,0.35,CA,1610593400
Nouadhibou,20.931,-17.0347,15.0,72,100,8.23,MR,1610593638
Dauphin,51.1494,-100.0502,4.08,77,100,5.77,CA,1610593639
Kommunar,59.6206,30.39,-13.89,78,40,4.0,RU,1610593640
Sakakah,29.9697,40.2064,13.0,41,0,5.14,SA,1610593640
Marsh Harbour,26.5412,-77.0636,22.66,74,100,4.29,BS,1610593641
Cayenne,4.9333,-52.3333,26.0,83,75,3.09,GF,1610593641
Santa Fe,-31.6333,-60.7,22.22,64,0,1.34,AR,1610593642
Cururupu,-1.8283,-44.8683,24.51,88,100,1.86,BR,1610593642
Saint Anthony,45.0205,-93.218,2.0,80,40,3.09,US,1610593643
Panāgar,23.3,79.9833,12.47,38,0,1.92,IN,1610593644
Nur-Sultan,51.1801,71.446,-34.0,68,0,3.0,KZ,1610593645
Ukiah,39.1502,-123.2078,13.89,94,90,1.54,US,1610593645
Sayyan,15.1718,44.3244,3.14,77,0,0.61,YE,1610593646
Povenets,62.8487,34.8262,-24.91,90,83,3.33,RU,1610593646
Nelson Bay,-32.7167,152.15,32.78,48,0,4.12,AU,1610593647
Shibetsu,43.659,145.132,-2.0,100,75,1.54,JP,1610593647
Salihli,38.4826,28.1477,7.89,77,100,2.36,TR,1610593648
Apastovo,55.2029,48.5109,-20.0,77,90,3.0,RU,1610593648
Mayo,38.8876,-76.5119,2.0,78,1,2.77,US,1610593649
Melfi,40.9965,15.6514,3.33,93,0,2.06,IT,1610593650
Dombarovskiy,50.7587,59.5386,-23.69,89,99,4.92,RU,1610593650
Matara,5.9485,80.5353,25.06,83,100,3.37,LK,1610593651
Concarneau,47.875,-3.9225,10.0,93,90,5.14,FR,1610593651
Middelburg,-25.7751,29.4648,16.59,90,74,3.42,ZA,1610593653
Hare Bay,48.8499,-54.0148,-3.0,93,68,0.51,CA,1610593655
Balakhta,55.38,91.6,-21.86,90,100,2.54,RU,1610593655
Moscow,55.7522,37.6156,-12.78,85,90,9.0,RU,1610593035
Yulara,-25.2406,130.9889,38.0,15,0,2.57,AU,1610593656
Boyolangu,-8.1181,111.8935,28.36,71,100,2.84,ID,1610593658
Priozyornoye,45.2698,36.3303,1.43,87,100,3.6,UA,1610593659
Keene,42.9337,-72.2781,0.0,74,90,1.78,US,1610593659
Grindavik,63.8424,-22.4338,4.0,87,40,6.17,IS,1610593660
Naivasha,-0.7167,36.4359,12.22,87,69,1.26,KE,1610593661
Manavālakurichi,8.1333,77.3,27.0,89,40,6.29,IN,1610593662
Gurupi,-11.7292,-49.0686,24.45,81,48,0.78,BR,1610593663
Dzhebariki-Khaya,62.2167,135.8,-40.83,79,96,0.47,RU,1610593663
Juegang,32.3174,121.1855,11.34,45,0,2.78,CN,1610593664
Araranguá,-28.9347,-49.4858,20.43,86,83,2.49,BR,1610593665
Andreyevo,55.9465,41.1505,-17.81,93,100,6.96,RU,1610593666
Pachino,36.7186,15.0907,8.33,79,0,2.83,IT,1610593666
Kamina,-8.7386,24.9906,17.04,99,100,1.88,CD,1610593667
Kamaishi,39.2667,141.8833,4.0,87,75,3.09,JP,1610593646
Puri,19.8,85.85,22.0,78,40,2.06,IN,1610593669
Edson,53.5835,-116.4356,-2.0,64,1,4.12,CA,1610593572
Coahuayana Viejo,18.7333,-103.6833,23.13,56,99,1.02,MX,1610593671
Hirara,24.8,125.2833,20.0,60,75,3.09,JP,1610593672
Horta,38.5333,-28.6333,16.72,84,70,8.02,PT,1610593673
Zhangye,38.9342,100.4517,-5.33,74,37,2.54,CN,1610593674
Chernyshevskiy,63.0128,112.4714,-28.84,88,100,3.18,RU,1610593675
Zhigansk,66.7697,123.3711,-40.63,79,75,5.02,RU,1610593676
Harper,4.375,-7.7169,25.14,86,100,2.73,LR,1610593437
Maridi,4.9158,29.4742,21.65,37,59,1.63,SS,1610593678
Paragominas,-2.9667,-47.4833,22.42,98,100,1.29,BR,1610593679
Tahe,52.3333,124.7333,-22.85,82,9,1.16,CN,1610593680
Gōtsuchō,35.0,132.2167,12.0,62,20,3.09,JP,1610593681
Shahrud,36.4182,54.9763,2.17,71,0,1.96,IR,1610593442
Awjilah,29.1081,21.2869,12.23,60,65,7.83,LY,1610593683
Skoghall,59.3232,13.4655,-7.0,93,90,7.2,SE,1610593685
